state,city,year,education_services_exp,public_welfare_exp,hospital_exp,health_exp,police_protection_exp,fire_protection_exp,corrections_exp,inspection_and_regulation,parks_and_recreation_exp,housing_&_community_development_exp,financial_administration_exp,judicial_and_legal_exp,general_public_buildings_exp,other_governmental_admin_exp
AK,Anchorage,2010,"2,880",0,0,104,434,293,0,34,177,0,65,29,6,92
AK,Anchorage,2011,"2,787",0,0,93,411,311,0,32,142,0,61,35,5,73
AK,Anchorage,2012,"2,430",0,0,97,447,327,0,33,76,0,82,29,15,79
AK,Anchorage,2013,"2,472",0,0,129,454,336,0,0,26,0,0,27,0,77
AK,Anchorage,2014,"2,456",5,0,76,469,373,0,0,55,37,30,27,0,82
AK,Anchorage,2015,"2,730",5,0,83,483,385,0,0,127,34,67,28,0,87
AK,Anchorage,2016,"2,464",5,0,79,481,384,0,35,125,39,73,27,0,77
AK,Anchorage,2017,"2,366",5,0,71,445,386,0,33,118,40,66,26,0,58
AK,Fairbanks,2010,"2,690",0,0,55,337,300,0,21,95,136,138,15,0,88
AK,Fairbanks,2011,"2,632",0,0,51,354,261,0,21,94,125,130,14,0,80
AK,Fairbanks,2012,"2,404",0,0,61,215,276,0,22,92,144,114,17,0,126
AK,Fairbanks,2013,"2,421",0,0,66,293,265,0,0,138,140,93,16,0,83
AK,Fairbanks,2014,"2,371",0,0,41,264,287,0,21,134,155,130,31,0,112
AK,Fairbanks,2015,"2,554",0,0,21,292,281,0,21,100,158,135,23,0,86
AK,Fairbanks,2016,"2,186",0,0,23,237,311,0,22,98,158,147,17,0,83
AK,Fairbanks,2017,"2,192",0,0,42,208,328,0,22,97,156,94,16,1,109
AL,Birmingham,2010,"2,015",2,149,173,482,354,107,4,170,568,159,86,33,259
AL,Birmingham,2011,"2,047",0,148,84,441,313,87,80,145,474,107,67,131,142
AL,Birmingham,2012,"1,781",0,151,94,443,291,56,101,160,456,109,72,128,172
AL,Birmingham,2013,"1,540",0,155,84,471,280,58,57,178,442,143,93,135,144
AL,Birmingham,2014,"1,372",0,112,76,492,284,51,58,202,484,106,90,79,171
AL,Birmingham,2015,"1,375",0,0,151,497,287,57,62,210,510,102,107,71,157
AL,Birmingham,2016,"1,367",0,0,137,519,310,52,62,219,504,121,100,67,170
AL,Birmingham,2017,"1,347",0,0,135,527,308,52,66,245,491,118,122,71,185
AL,Mobile,2010,"1,531",20,0,173,392,170,70,3,171,399,93,66,46,115
AL,Mobile,2011,"1,483",39,0,176,416,205,48,27,174,523,68,41,73,64
AL,Mobile,2012,"1,439",11,0,195,338,136,62,24,160,313,76,59,47,107
AL,Mobile,2013,"1,485",12,0,226,332,141,61,24,118,257,78,40,39,107
AL,Mobile,2014,"1,443",12,0,279,337,141,61,25,117,283,99,41,42,105
AL,Mobile,2015,"1,466",11,0,309,337,143,65,25,119,282,102,45,43,106
AL,Mobile,2016,"1,458",14,0,337,338,155,63,28,157,294,107,56,31,101
AL,Mobile,2017,"1,348",8,0,344,336,163,61,36,155,305,103,56,26,84
AL,Montgomery,2010,"1,670",14,"1,107",61,320,171,99,13,107,171,97,44,145,61
AL,Montgomery,2011,"1,443",17,"1,124",62,289,160,105,0,153,231,88,41,210,63
AL,Montgomery,2012,"1,341",18,"1,292",66,288,167,99,12,147,181,83,44,44,21
AL,Montgomery,2013,"1,411",15,"1,512",68,330,162,94,12,153,162,64,44,54,45
AL,Montgomery,2014,"1,317",15,"1,473",71,290,155,92,12,177,163,63,46,75,45
AL,Montgomery,2015,"1,342",17,"1,498",70,297,164,119,13,174,157,56,45,51,55
AL,Montgomery,2016,"1,397",5,"1,609",69,288,161,94,11,142,153,58,61,61,75
AL,Montgomery,2017,"1,375",7,"1,706",68,281,166,89,11,143,152,38,61,49,32
AR,Ft. Smith,2010,"2,141",0,0,2,213,141,83,4,80,129,65,54,16,65
AR,Ft. Smith,2011,"2,029",0,0,10,224,130,61,4,54,130,66,50,19,61
AR,Ft. Smith,2012,"1,952",3,0,6,229,129,67,0,49,124,64,43,13,61
AR,Ft. Smith,2013,"1,877",4,0,2,220,133,71,0,49,105,59,52,9,58
AR,Ft. Smith,2014,"1,967",3,0,2,221,150,69,0,54,112,49,42,7,59
AR,Ft. Smith,2015,"1,983",3,0,2,227,150,68,4,80,143,68,45,10,63
AR,Ft. Smith,2016,"1,922",3,0,16,222,159,61,5,75,148,68,52,10,63
AR,Ft. Smith,2017,"1,941",4,0,13,208,154,64,1,53,138,64,51,13,53
AR,Little Rock,2010,"2,052",0,0,105,366,222,62,13,208,170,69,55,6,43
AR,Little Rock,2011,"2,184",0,0,118,331,206,62,9,212,171,66,53,6,41
AR,Little Rock,2012,"1,948",0,0,117,330,218,67,8,222,169,72,53,5,41
AR,Little Rock,2013,"1,969",0,0,128,401,250,72,7,211,172,78,29,5,44
AR,Little Rock,2014,"1,940",0,0,123,405,235,69,8,220,132,89,52,5,44
AR,Little Rock,2015,"1,857",0,0,125,450,243,68,8,218,146,77,56,6,44
AR,Little Rock,2016,"1,812",0,0,153,401,239,73,8,202,149,80,59,5,46
AR,Little Rock,2017,"1,875",0,0,191,388,252,72,9,229,157,79,56,5,46
AZ,Mesa,2010,"1,440",11,190,29,454,186,110,25,118,69,48,121,11,41
AZ,Mesa,2011,"1,273",14,161,28,413,158,107,31,126,58,42,119,10,38
AZ,Mesa,2012,"1,208",16,187,27,402,182,113,8,109,47,29,115,11,53
AZ,Mesa,2013,"1,080",13,165,27,407,179,114,28,110,39,37,113,31,48
AZ,Mesa,2014,"1,207",6,185,27,436,146,117,25,149,43,19,114,28,50
AZ,Mesa,2015,"1,106",5,186,28,392,132,116,13,123,45,23,123,30,28
AZ,Mesa,2016,"1,087",5,193,27,445,146,113,14,87,36,24,122,37,28
AZ,Mesa,2017,"1,074",4,148,29,393,171,108,15,124,57,117,121,35,48
AZ,Phoenix,2010,"1,617",7,190,29,411,231,110,18,165,114,30,129,6,23
AZ,Phoenix,2011,"1,544",7,161,28,392,208,107,17,183,130,28,125,5,23
AZ,Phoenix,2012,"1,473",8,187,27,369,206,113,17,144,141,25,121,11,21
AZ,Phoenix,2013,"1,439",6,165,27,349,213,114,18,150,122,23,118,21,20
AZ,Phoenix,2014,"1,377",6,185,27,344,200,117,18,131,98,35,121,19,18
AZ,Phoenix,2015,"1,346",5,186,28,329,195,116,20,104,88,37,123,18,17
AZ,Phoenix,2016,"1,309",5,193,27,320,197,113,19,102,95,30,121,14,18
AZ,Phoenix,2017,"1,316",4,148,29,309,192,108,21,104,85,32,118,14,17
AZ,Tucson,2010,"1,311",110,287,38,482,179,100,23,165,372,104,218,4,60
AZ,Tucson,2011,"1,230",113,292,41,487,161,101,24,170,184,81,219,0,60
AZ,Tucson,2012,"1,225",102,66,52,438,156,102,9,134,159,75,216,5,2
AZ,Tucson,2013,"1,258",67,3,76,356,155,49,9,123,254,64,181,33,42
AZ,Tucson,2014,"1,178",62,0,71,315,155,50,8,117,256,56,156,28,42
AZ,Tucson,2015,"1,004",61,0,71,332,161,54,7,131,262,57,153,31,48
AZ,Tucson,2016,"1,020",60,0,65,405,181,55,7,132,121,70,169,21,77
AZ,Tucson,2017,"1,044",57,0,69,535,181,0,6,99,141,67,206,15,42
Average for Core FiSCs,,2010,"1,932",154,287,155,405,216,104,23,192,287,78,88,49,94
Average for Core FiSCs,,2011,"1,861",147,290,148,390,209,98,22,166,298,71,84,47,85
Average for Core FiSCs,,2012,"1,794",132,294,158,383,205,95,22,163,291,67,80,44,88
Average for Core FiSCs,,2013,"1,762",127,293,156,383,207,95,22,158,278,65,79,44,87
Average for Core FiSCs,,2014,"1,758",132,297,158,386,210,95,22,158,259,65,78,40,86
Average for Core FiSCs,,2015,"1,809",134,297,168,394,214,95,22,166,254,66,78,39,84
Average for Core FiSCs,,2016,"1,835",137,317,174,404,217,97,24,174,252,66,82,36,86
Average for Core FiSCs,,2017,"1,836",136,324,182,410,217,96,24,175,251,67,83,36,91
CA,,2010,"1,849",316,0,153,459,183,118,36,275,414,57,135,7,105
CA,,2011,"1,704",307,0,154,429,177,113,37,287,428,54,131,6,94
CA,,2012,"1,741",279,0,210,419,173,113,36,285,384,52,107,6,95
CA,,2013,"1,676",275,0,227,440,170,106,37,314,361,49,108,6,103
CA,,2014,"1,685",280,0,210,462,172,91,38,318,354,66,94,4,107
CA,,2015,"1,804",284,0,175,457,184,104,43,260,363,48,89,6,107
CA,,2016,"1,932",293,0,173,485,201,114,56,547,368,53,112,3,109
CA,,2017,"1,975",294,0,188,519,199,119,54,441,322,33,111,2,83
CA,,2010,"2,174",567,394,207,330,263,174,281,151,125,35,130,27,148
CA,,2011,"2,106",520,391,195,323,253,172,278,159,112,34,124,21,116
CA,,2012,"2,098",477,403,205,328,249,169,256,121,89,33,105,22,129
CA,,2013,"2,076",476,408,208,343,259,181,275,133,64,33,111,29,125
CA,,2014,"2,108",476,410,206,360,267,189,233,124,66,26,105,32,123
CA,,2015,"2,280",492,393,197,376,283,186,349,129,71,27,105,30,126
CA,,2016,"2,468",509,426,204,408,273,186,444,131,69,25,112,27,116
CA,,2017,"2,569",461,68,231,368,246,156,413,129,94,32,89,25,100
CA,,2010,"1,445",487,702,391,348,323,163,46,221,359,62,139,48,128
CA,,2011,"1,329",463,702,381,365,259,155,47,225,342,58,132,11,124
CA,,2012,"1,352",355,742,491,399,230,149,30,187,212,56,112,5,124
CA,,2013,"1,341",345,758,498,342,191,143,52,212,127,59,107,5,133
CA,,2014,"1,336",335,795,495,337,222,152,63,200,156,57,90,4,125
CA,,2015,"1,437",331,803,498,360,235,157,94,231,136,56,107,5,146
CA,,2016,"1,914",335,799,460,392,261,161,58,192,150,57,148,5,145
CA,,2017,"1,908",383,831,528,374,259,162,55,167,153,51,134,5,144
CA,,2010,"2,309",653,76,297,433,110,174,23,129,209,27,116,87,165
CA,,2011,"2,186",647,64,312,413,104,158,19,71,195,24,108,21,70
CA,,2012,"2,141",563,48,782,407,117,155,14,61,166,23,86,30,51
CA,,2013,"2,166",548,27,946,388,118,159,18,63,161,40,92,5,76
CA,,2014,"2,195",555,25,"1,106",373,117,160,10,58,178,21,85,5,82
CA,,2015,"2,369",583,25,"1,282",392,116,166,15,72,161,46,98,5,90
CA,,2016,"2,531",644,24,"1,389",378,115,158,16,62,148,34,87,4,71
CA,,2017,"2,470",446,22,"1,585",450,102,45,15,55,124,23,73,3,60
CA,,2010,"1,502",316,0,185,520,197,118,32,141,130,55,130,7,184
CA,,2011,"1,378",307,0,179,456,174,113,2,131,113,50,124,6,159
CA,,2012,"1,321",279,0,233,471,186,113,3,126,76,49,102,6,179
CA,,2013,"1,302",275,0,259,526,220,106,3,118,38,17,87,6,312
CA,,2014,"1,309",280,0,236,502,212,91,3,81,2,34,68,4,208
CA,,2015,"1,475",284,0,204,490,231,104,10,119,6,14,68,6,182
CA,,2016,"1,555",293,0,197,502,219,114,21,123,25,34,89,3,167
CA,,2017,"1,546",294,0,210,516,204,119,32,134,43,47,91,2,151
CA,,2010,"1,942",598,331,429,662,251,167,1,347,324,35,149,18,84
CA,,2011,"1,846",592,324,422,638,239,154,1,348,483,32,138,21,80
CA,,2012,"1,884",536,337,446,622,233,156,1,350,309,32,115,23,83
CA,,2013,"1,799",547,361,456,627,232,162,1,332,291,27,102,22,123
CA,,2014,"1,809",544,342,507,664,223,137,1,323,302,25,92,21,114
CA,,2015,"2,050",564,343,484,654,225,148,1,428,309,51,98,21,128
CA,,2016,"2,100",575,335,493,644,253,154,1,364,258,27,98,21,147
CA,,2017,"2,177",572,342,536,706,253,159,1,266,214,36,102,15,112
CA,,2010,"2,320",598,331,347,714,247,167,23,168,411,86,166,16,47
CA,,2011,"2,114",592,324,343,635,221,154,20,158,441,75,147,14,40
CA,,2012,"1,967",536,337,388,634,214,156,19,151,391,72,113,17,50
CA,,2013,"1,801",547,361,396,642,214,162,20,155,419,73,125,16,45
CA,,2014,"1,791",544,342,430,699,231,137,20,153,396,74,116,15,49
CA,,2015,"1,932",564,343,422,750,215,148,20,169,384,75,119,16,53
CA,,2016,"1,998",575,335,437,780,224,154,23,180,386,82,132,15,52
CA,,2017,"1,943",572,342,475,754,225,159,16,159,399,75,126,15,54
CA,,2010,"2,017",638,247,179,380,139,123,23,108,195,72,132,11,136
CA,,2011,"1,810",619,257,164,343,130,112,59,118,176,61,124,11,96
CA,,2012,"1,817",490,230,268,324,130,106,58,132,150,36,108,2,93
CA,,2013,"1,782",512,181,281,341,129,112,44,156,166,23,98,2,93
CA,,2014,"1,793",516,195,268,345,126,119,42,127,129,23,97,3,88
CA,,2015,"1,904",539,200,262,372,140,127,46,94,114,33,115,2,87
CA,,2016,"2,038",554,199,277,387,138,133,45,94,137,35,112,3,94
CA,,2017,"2,149",560,176,284,362,151,155,46,81,123,36,97,0,71
CA,,2010,"1,622",487,702,510,666,347,163,170,219,880,97,147,5,647
CA,,2011,"1,545",462,702,510,605,336,155,133,224,926,108,140,5,748
CA,,2012,"1,572",353,742,628,598,370,149,72,248,"2,044",84,121,5,635
CA,,2013,"1,533",343,758,630,628,361,143,178,226,"2,056",93,118,5,"1,035"
CA,,2014,"1,443",334,795,625,659,367,152,227,228,"1,848",94,121,5,507
CA,,2015,"1,458",330,803,629,689,415,157,122,240,"1,999",85,117,5,643
CA,,2016,"1,609",335,799,591,745,414,161,151,235,"1,930",38,141,5,439
CA,,2017,"1,641",382,831,644,722,417,162,48,200,"2,051",79,134,5,340
CA,,2010,"2,039",438,272,380,509,249,123,58,146,491,67,136,27,187
CA,,2011,"1,875",413,267,386,471,242,118,62,157,388,65,134,16,171
CA,,2012,"1,709",383,249,435,470,253,116,63,109,299,65,112,16,168
CA,,2013,"1,727",372,255,534,463,250,123,36,138,179,36,107,10,166
CA,,2014,"1,665",385,260,664,481,243,134,31,122,201,46,102,13,164
CA,,2015,"1,823",410,251,"1,012",492,250,139,28,133,165,40,103,12,160
CA,,2016,"2,053",427,270,"1,105",520,253,154,31,143,105,46,116,13,163
CA,,2017,"2,220",413,247,"1,217",489,237,151,53,113,55,63,101,14,155
CA,,2010,"1,808",582,0,381,494,237,190,29,354,287,45,161,17,177
CA,,2011,"1,627",557,0,370,448,215,155,26,265,306,49,162,13,161
CA,,2012,"1,616",405,0,485,429,198,153,25,191,246,34,134,16,185
CA,,2013,"1,538",394,0,504,439,204,149,24,201,203,34,120,16,164
CA,,2014,"1,615",400,0,474,421,207,168,26,191,216,40,100,15,168
CA,,2015,"1,790",419,0,465,440,216,174,27,215,279,59,114,6,181
CA,,2016,"1,906",413,0,472,461,239,176,47,636,193,39,124,4,208
CA,,2017,"2,057",438,0,443,505,232,170,57,190,178,42,80,1,253
CA,,2010,"1,790",410,0,200,364,157,106,53,183,418,63,147,77,127
CA,,2011,"1,711",399,0,168,356,124,96,47,184,425,58,134,75,78
CA,,2012,"1,639",322,0,246,335,138,104,38,198,418,57,132,70,67
CA,,2013,"1,626",315,0,252,332,143,106,39,178,297,55,147,69,58
CA,,2014,"1,642",379,0,192,331,137,115,44,160,290,54,150,71,58
CA,,2015,"1,783",353,0,196,339,142,121,45,169,355,47,140,74,85
CA,,2016,"1,756",368,0,244,337,142,117,56,199,309,47,134,77,60
CA,,2017,"1,832",277,1,213,328,139,121,46,217,311,56,140,82,51
CA,,2010,"1,285",669,"1,093","1,226",533,323,248,72,326,707,71,116,16,128
CA,,2011,"1,176",609,"1,150","1,140",499,323,221,72,316,686,69,102,18,124
CA,,2012,"1,151",634,"1,124","1,147",495,316,206,91,318,635,55,99,17,153
CA,,2013,"1,068",570,"1,138","1,237",502,330,212,92,343,715,54,100,17,127
CA,,2014,"1,118","1,151","1,142","1,242",484,319,216,86,315,460,59,143,35,141
CA,,2015,"1,279","1,169","1,093","1,874",478,335,242,98,343,496,63,99,11,169
CA,,2016,"1,347","1,580","1,121","1,888",511,350,241,106,360,649,67,106,7,209
CA,,2017,"1,239","1,543","1,352","2,199",601,344,256,125,297,718,69,149,0,396
CA,,2010,"1,723",438,879,292,386,220,204,14,246,308,146,156,56,131
CA,,2011,"1,599",418,838,280,365,201,190,9,189,252,141,146,31,104
CA,,2012,"1,553",362,908,281,346,194,171,30,152,215,40,118,22,139
CA,,2013,"1,535",365,961,277,298,184,175,37,158,184,48,118,22,146
CA,,2014,"1,483",379,851,437,297,181,189,45,196,149,41,98,24,146
CA,,2015,"1,602",408,812,600,306,201,198,57,219,156,46,102,31,156
CA,,2016,"1,691",422,953,642,321,207,213,70,253,199,50,128,31,147
CA,,2017,"1,812",448,934,641,325,199,226,39,231,201,46,129,34,143
CA,,2010,"2,354",316,0,191,462,168,118,23,107,267,37,123,9,73
CA,,2011,"2,390",307,0,187,469,161,113,19,101,226,29,119,8,65
CA,,2012,"2,407",279,0,245,465,173,113,19,98,205,28,95,8,58
CA,,2013,"2,315",275,0,261,439,145,106,15,104,202,27,93,9,59
CA,,2014,"2,195",280,0,240,471,120,91,17,109,185,45,74,32,64
CA,,2015,"2,447",284,0,206,434,127,104,19,99,143,26,74,6,63
CA,,2016,"2,674",293,0,210,460,119,114,22,113,137,19,89,3,76
CA,,2017,"2,632",294,0,197,492,116,119,23,129,172,26,91,2,91
CA,,2010,"2,145",535,331,202,474,204,165,34,225,239,42,145,21,139
CA,,2011,"2,032",518,321,192,419,187,151,30,88,167,38,131,18,105
CA,,2012,"1,946",502,335,199,438,168,148,34,80,166,36,113,18,105
CA,,2013,"1,992",465,329,197,417,121,153,9,79,120,37,108,17,53
CA,,2014,"1,982",482,341,207,407,139,153,26,73,167,38,106,46,100
CA,,2015,"2,131",493,351,225,443,149,157,28,81,68,39,113,37,138
CA,,2016,"2,294",457,399,228,447,153,161,26,82,59,38,111,22,112
CA,,2017,"2,336",420,406,238,489,146,134,16,82,90,29,93,21,97
CO,,2010,"2,173",115,0,55,360,120,66,0,296,105,85,56,37,188
CO,,2011,"2,075",181,0,46,358,119,63,0,295,125,55,53,15,144
CO,,2012,"1,851",176,0,45,355,121,59,0,295,120,54,50,15,161
CO,,2013,"1,792",168,0,58,372,122,59,0,282,116,50,49,13,126
CO,,2014,"1,899",161,0,56,370,119,57,0,279,141,61,49,13,131
CO,,2015,"1,984",117,0,38,347,122,58,0,259,112,93,54,17,91
CO,,2016,"1,970",95,0,40,424,127,59,0,316,200,95,55,15,106
CO,,2017,"2,000",96,0,39,365,129,58,0,324,137,91,59,24,86
CO,,2010,"1,829",78,"1,471",54,366,106,12,0,79,111,133,46,10,40
CO,,2011,"1,637",83,"1,298",51,328,101,10,0,72,86,101,41,13,28
CO,,2012,"1,543",83,"1,292",50,312,102,9,0,59,92,109,41,13,27
CO,,2013,"1,547",84,"1,313",50,301,101,10,0,62,109,110,40,13,34
CO,,2014,"1,596",80,"1,331",47,313,102,9,0,58,100,103,42,12,74
CO,,2015,"1,639",88,1,47,316,117,10,0,48,87,104,46,12,23
CO,,2016,"1,775",91,1,48,333,118,10,0,63,92,98,49,13,51
CO,,2017,"1,686",103,0,43,308,108,0,0,73,84,87,52,11,58
CO,,2010,"1,851",339,"1,141",112,396,205,506,0,424,312,223,90,146,134
CO,,2011,"1,883",309,"1,124",119,363,203,225,0,369,276,156,126,101,129
CO,,2012,"1,719",290,"1,236",166,387,193,237,0,362,404,133,103,79,122
CO,,2013,"1,690",282,"1,197",160,329,197,180,0,270,366,117,110,70,121
CO,,2014,"1,958",262,"1,253",154,353,212,194,0,246,374,115,108,69,119
CO,,2015,"1,997",216,"1,286",165,392,232,183,0,264,451,97,123,75,119
CO,,2016,"1,917",211,"1,265",166,346,187,142,0,244,351,76,112,136,118
CO,,2017,"1,928",195,"1,466",155,340,182,191,0,360,379,106,110,135,115
CT,,2010,"2,472",23,0,33,615,394,0,37,47,579,69,27,85,31
CT,,2011,"2,446",25,0,25,617,400,0,44,47,725,62,26,75,33
CT,,2012,"2,346",24,0,30,673,394,0,1,46,510,58,39,83,34
CT,,2013,"2,586",25,0,23,725,409,0,13,47,528,57,34,84,36
CT,,2014,"2,432",26,0,23,692,400,0,5,48,472,55,34,9,36
CT,,2015,"2,491",35,0,23,676,435,0,5,50,472,57,32,8,34
CT,,2016,"2,779",26,0,21,776,438,0,6,50,490,62,31,9,36
CT,,2017,"2,444",13,0,18,754,443,0,6,48,469,37,35,10,32
CT,,2010,"4,444",130,0,148,545,285,0,0,80,759,51,14,17,90
CT,,2011,"3,762",123,0,144,640,281,0,0,1,857,83,13,31,34
CT,,2012,"3,823",109,0,121,557,220,0,0,13,861,44,15,59,42
CT,,2013,"3,894",0,0,119,483,302,0,0,13,851,34,13,48,39
CT,,2014,"3,591",108,0,114,492,265,0,0,12,932,58,13,23,91
CT,,2015,"3,705",113,0,122,452,277,0,0,181,794,59,15,1,78
CT,,2016,"3,625",113,0,120,510,131,0,0,91,918,135,8,49,66
CT,,2017,"3,353",108,0,116,445,135,0,0,48,865,141,23,12,74
CT,,2010,"3,505",0,0,60,342,276,0,0,84,875,90,16,0,69
CT,,2011,"3,330",0,0,50,318,270,0,7,59,782,87,15,0,34
CT,,2012,"3,470",0,0,23,308,255,0,7,49,828,79,14,0,133
CT,,2013,"2,948",0,0,43,301,252,0,7,50,789,87,15,0,131
CT,,2014,"2,883",0,0,24,289,258,0,7,46,767,90,13,0,120
CT,,2015,"3,053",0,0,25,313,269,0,7,52,747,94,14,0,122
CT,,2016,"3,443",0,0,26,302,241,0,8,41,804,87,17,0,152
CT,,2017,"3,279",0,0,27,317,244,0,7,49,733,62,15,0,119
DC,,2010,"4,719","5,076",286,890,"1,080",419,489,193,442,"1,312",628,227,194,219
DC,,2011,"4,358","5,087",407,712,"1,064",387,462,152,433,"1,188",508,205,73,190
DC,,2012,"4,199","4,935",397,765,971,364,415,144,351,943,360,186,94,206
DC,,2013,"4,287","5,292",388,742,928,361,416,143,344,825,318,190,141,206
DC,,2014,"4,213","5,196",402,633,963,372,231,142,388,994,332,191,167,207
DC,,2015,"4,365","5,563",433,738,913,380,222,151,344,944,411,167,305,184
DC,,2016,"4,297","5,725",408,689,897,417,219,164,497,"1,027",424,200,313,182
DC,,2017,"4,369","5,724",384,578,922,410,229,156,377,"1,117",402,216,316,188
DE,,2010,"1,368",6,0,40,423,28,0,53,36,201,72,1,72,186
DE,,2011,"1,480",5,0,38,409,27,0,51,35,188,61,2,64,322
DE,,2012,"1,901",0,0,40,421,27,0,50,39,165,55,1,58,153
DE,,2013,"1,679",0,0,40,471,26,0,16,35,165,69,1,26,83
DE,,2014,"1,504",2,0,37,492,26,0,16,35,138,70,0,23,96
DE,,2015,"1,407",2,0,37,518,34,0,16,40,129,74,0,24,85
DE,,2016,"1,348",3,0,37,539,31,0,16,38,126,73,0,23,100
DE,,2017,"1,332",3,0,38,534,22,0,10,36,124,73,0,22,95
DE,,2010,"1,911",20,0,29,"1,006",384,0,82,193,654,174,62,27,353
DE,,2011,"1,957",12,0,31,907,368,0,81,168,777,191,62,71,242
DE,,2012,"2,005",0,0,29,900,349,0,77,136,764,206,65,116,171
DE,,2013,"1,955",0,0,30,937,363,0,84,126,567,180,63,92,173
DE,,2014,"2,013",0,0,32,968,349,0,86,134,550,179,59,116,175
DE,,2015,"2,028",0,0,33,"1,000",368,0,86,149,553,179,62,137,175
DE,,2016,"2,120",0,0,34,955,362,0,90,147,558,180,60,140,169
DE,,2017,"2,161",0,0,33,"1,065",410,0,86,155,609,180,61,79,237
FL,,2010,"1,448",87,"1,557",58,895,521,151,72,419,305,165,68,0,83
FL,,2011,"1,290",78,"1,615",57,891,533,135,67,301,329,136,62,5,76
FL,,2012,"1,123",72,"1,542",44,852,507,128,67,324,338,141,58,6,74
FL,,2013,"1,108",66,"1,434",47,872,536,124,64,313,334,133,58,12,67
FL,,2014,"1,142",66,"1,433",47,762,443,121,54,278,236,98,61,43,70
FL,,2015,"1,155",65,"1,554",43,801,436,123,67,264,290,109,55,52,95
FL,,2016,"1,164",66,"1,563",44,788,448,124,84,250,287,100,85,1,113
